temperature,humidity,occupancy,appliances,hour,previous_consumption,energy_consumption
21,58,9,2,6,159.50979143359936,208.29731370170128
34,61,8,6,17,148.64073755534184,268.87727798262466
29,67,3,9,22,414.3423345036472,354.83221471537564
25,31,5,14,4,377.49836083821435,379.9120094907608
22,37,2,8,14,407.1715602526515,308.5961447367487
35,25,3,3,6,160.98490968168835,205.69746998022788
21,62,1,10,9,465.84743574818395,360.51207551554086
33,54,4,18,15,153.2446452889435,318.4588683754805
37,73,5,9,22,448.01478727909154,420.59875568753085
25,81,2,9,1,240.9517165223725,288.1440218926253
25,88,3,19,17,142.17363721365572,318.1872110720122
38,35,6,13,14,214.70758422621037,325.39210028952743
35,27,6,1,22,172.5792056855532,192.0611235536333
18,50,7,17,18,296.2678874766857,349.39317177976784
22,29,9,4,19,479.89813921590746,353.3470138284332
38,75,4,4,13,231.1484646330074,265.9525874067852
17,89,5,16,22,344.8395942728455,377.21948186023207
36,39,2,16,1,456.68835029598546,448.05690842931705
35,24,6,15,17,352.0295718784928,381.29310555697487
16,42,4,6,8,244.87965634790575,232.63563160536296
38,28,5,5,0,496.3356508703517,389.15015859644814
26,77,7,10,15,174.96544057621347,281.6738947739268
20,78,6,7,11,309.30240595820317,296.8443281733841
16,73,8,7,11,418.68219949471893,355.8844728173215
35,65,6,10,18,100.25954783088973,262.1737937597241
15,41,8,10,9,380.8173008569748,350.6333923525517
26,83,4,15,19,206.59955868237546,345.18189592200406
36,27,7,6,4,167.89068907675085,239.4778999349635
26,39,3,2,2,209.6777853473166,198.81354346147074
39,70,1,8,8,486.72657033591366,388.33455348802823
31,58,9,15,20,456.7741036958742,468.21211665861676
24,56,9,18,22,185.501782585481,350.31296859042413
30,69,6,5,14,146.81070924737782,228.77792517340006
29,53,2,4,13,245.66104180578705,230.86686368673472
29,52,8,10,10,336.9345920400294,352.1362955645344
33,50,6,19,12,446.85785143244823,476.4493632427288
26,73,7,14,6,486.4360500160311,444.7345186293174
37,63,1,13,1,400.4613472692395,391.63641048940485
34,53,3,10,2,339.6028850806623,342.4880787209507
39,81,1,6,19,156.93281045240678,226.72356344145967
17,42,1,13,7,129.6113505493244,211.81213429546335
19,65,1,11,0,338.41075141168045,309.184792775062
33,75,4,15,20,315.6256423067708,401.21385636542
21,26,7,2,3,438.43524309364085,294.98860796488736
35,80,7,15,12,229.04234034204154,367.5111369534779
23,22,5,19,23,115.87634293992406,275.7387168543609
21,57,6,17,13,269.4833076364133,350.0034565149104
32,53,2,18,8,487.6729215750957,449.5427309933161
18,63,5,6,2,418.22996197460924,335.406506435311
39,49,7,15,13,113.50886945690925,295.3235286812587
28,36,9,17,3,449.87156155927016,466.51231283311824
32,78,6,9,16,288.67579584852695,339.5830800923869
23,29,4,12,14,245.90721272718233,286.4042272565661
35,37,3,5,11,238.69581632111664,260.3133762984342
16,64,9,14,13,338.05770121554576,404.15797830813653
34,78,7,8,18,312.239767376305,351.28315173060116
29,81,6,17,9,362.65089766730523,416.49229773031277
21,78,7,9,4,329.45658601601866,351.1456403043342
26,68,8,3,23,157.5778299366874,222.77113803676568
22,82,5,7,16,202.89440350332728,278.41371558790445
29,51,3,12,16,436.4118288407337,385.8248207588962
17,29,3,3,2,365.30340587825197,264.70597287211893
28,30,2,9,15,279.36025016589645,278.7105448681807
31,89,8,14,8,173.04057273354613,362.93554122473734
18,81,1,18,16,103.07641439092477,269.06837892096377
32,66,8,11,19,224.75496127544722,356.15641895185445
22,53,3,4,11,121.9387827706675,176.77071277528808
18,36,9,8,23,292.913653234982,303.2807915368935
16,73,2,18,1,428.7205811032834,432.4275859358382
20,59,9,13,19,214.1594645529189,306.99421614742585
36,38,6,4,15,439.1016646220198,360.2867175401765
24,86,1,10,22,381.82575843463576,344.8940578868781
18,72,5,8,22,150.10493174194613,230.05840807708506
36,83,9,12,20,357.82475650783334,416.35175300263086
32,66,6,19,22,160.67192292221728,357.0264726793159
26,25,7,12,5,361.9163681099675,363.66420892200534
16,35,4,2,1,157.08579389124245,150.4366580509044
24,37,1,8,8,257.0045464062264,252.4005875927509
18,71,5,13,4,326.63770809527745,324.14361044927676
28,67,2,1,17,120.1496685695767,171.469087504154
30,62,8,3,21,161.32333794181096,244.5349191106261
29,58,4,2,20,228.16353002089858,227.57986899622486
22,68,1,8,17,284.92803430874454,259.15739330420746
28,31,7,3,9,443.39491756857376,337.4571892681296
37,29,2,15,9,174.90923534159288,289.5714607377146
39,74,3,2,22,238.98838020101024,255.36793453773407
22,20,9,17,9,290.31049451207224,372.49481380439636
35,68,9,6,17,218.3114223957475,300.7046438732729
30,55,2,1,15,350.29911148834833,273.9431526683572
27,40,3,4,22,202.64097391038803,213.65224465697003
32,56,9,19,5,408.94016844529733,474.75669189995415
29,43,1,7,11,302.06163794047336,283.79564081764966
35,74,2,14,3,134.5219533844441,288.8209533274134
38,44,2,14,19,350.79955809278306,370.9807769523043
39,26,3,10,15,327.69740151950293,337.9840149320052
27,43,3,7,21,235.43894168266908,241.15889398008224
23,30,2,16,21,104.46283135560854,245.1993726381419
29,31,8,4,21,180.280616869749,212.8485096674138
27,54,8,7,10,262.283811552941,289.4795888707798
15,82,8,15,0,179.96561351731896,306.8511173154122
39,87,2,17,4,330.9964483758711,406.606241007384
21,76,9,3,16,384.9299575705027,333.2237997811781
23,32,7,16,10,442.4070627003343,434.26309421314016
38,42,5,2,13,358.7930474734995,312.59699879086753
15,58,7,7,8,375.6036885019251,317.1432175974431
26,31,8,16,9,343.37674609220977,385.68345585628197
22,53,9,9,3,494.19442304508146,417.92333842283466
38,50,2,12,1,204.40022763196328,300.26423138548245
25,81,6,1,5,206.50347220510335,222.66173711595482
33,32,9,14,2,150.53345656874387,281.3020424497847
31,50,6,11,12,294.27373034781294,344.9883246880306
22,21,2,18,11,138.46468145236878,277.0488564781916
17,34,1,5,17,208.0586387592415,189.5722232105621
17,76,3,15,5,293.0723715085566,347.0410449234911
15,53,5,7,9,483.03824637200694,360.88423076210876
19,87,7,14,5,485.52519753606697,440.01948804276566
24,48,3,8,4,397.4960936546223,327.67537963520147
21,85,9,4,14,255.70006463027397,266.48717713357297
23,35,4,3,14,446.06450935061844,322.8514190735299
21,58,2,12,11,450.1823207630561,389.35384912918624
23,56,3,18,8,464.0789523186209,433.6963551548923
22,40,5,15,12,356.0100192860852,375.39326384368724
26,63,3,11,15,180.71711824315219,270.6086265577886
16,38,5,11,20,136.4323091082727,218.53500984373002
15,27,4,12,1,465.910201616052,370.40286081350814
30,85,3,19,16,122.2184432486412,333.08214643623376
37,60,6,17,8,218.35602377519794,377.65940597347463
37,89,8,6,22,294.78470681509486,362.47295502748443
38,80,4,8,18,108.79067714939032,249.8986962489433
19,45,9,15,5,462.76490347129754,431.3663172209708
17,89,6,10,3,214.848397948894,290.8031817157807
26,48,5,15,14,111.40191956823008,269.3012384150268
22,85,3,12,17,497.4359988906074,415.4971550979445
36,38,5,11,11,224.55727232700613,295.7929401884882
17,87,5,18,11,450.70596299414916,415.0411280643172
15,77,4,5,19,281.38978156835236,262.47379600783364
17,89,6,12,16,365.25036042199963,352.48292486918297
19,76,3,5,6,196.4360598149419,210.59769248378035
29,56,1,10,19,301.1501307908088,309.4419947678142
28,80,7,14,4,203.0604769700108,331.16214669073133
17,49,7,16,11,480.43355250604145,459.1880711195013
15,44,4,5,16,124.37816496649852,152.87777450411906
19,84,9,11,1,209.86957100193897,329.82851790987274
37,25,2,19,3,457.24355061995146,468.06544386948394
28,37,1,8,1,292.0143830029135,283.9974362022941
21,29,3,19,13,340.03364476166803,390.908261907526
23,30,7,18,13,360.677348598257,406.3509268563761
29,84,9,12,12,128.37100470942534,281.73442214709274
29,84,2,13,16,107.09549636343402,267.3414901747046
24,71,6,18,16,475.13642068452265,456.50463538946514
27,86,3,15,21,208.6011381187523,320.58688936328065
33,50,5,15,17,252.12524417421153,348.6755389012378
21,36,9,12,2,372.83726828941985,359.6661455511959
31,74,3,9,20,194.5215508290885,282.99514257673457
34,55,1,19,15,393.2285480670073,427.3152708601616
18,45,5,12,18,283.296872865308,311.07667509943326
19,72,1,5,5,442.6439221149564,318.0956333281267
37,36,8,10,22,211.41625430619297,308.39910603452154
21,44,7,7,5,181.5289921853194,227.81937363912525
